"Timestamp";"TI";"RHI";"DEWI";"T1";"RH1";"DEW1";"T2";"RH2";"DEW2";"T3";"RH3";"DEW3";"T4";"RH4";"DEW4";"T5";"RH5";"DEW5";"T6";"RH6";"DEW6";"T7";"RH7";"DEW7";"T8";"RH8";"DEW8"
2026-02-25 17:10:00;"21,7";"55";"12,3";"21,7";"56";"12,6";"21,8";"55";"12,4";"21,7";"57";"12,8";"16,4";"57";"7,9";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 17:20:00;"21,7";"55";"12,3";"21,7";"56";"12,6";"21,8";"56";"12,7";"21,6";"57";"12,7";"16,1";"58";"7,9";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 17:30:00;"21,7";"55";"12,3";"21,6";"57";"12,7";"21,7";"56";"12,6";"21,6";"57";"12,7";"15,8";"59";"7,8";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 17:40:00;"21,8";"55";"12,4";"21,7";"57";"12,8";"21,7";"56";"12,6";"21,7";"57";"12,8";"15,1";"63";"8,1";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 17:50:00;"21,9";"56";"12,8";"21,9";"57";"13,0";"23,1";"59";"14,7";"21,8";"58";"13,2";"14,7";"64";"8,0";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 18:00:00;"22,0";"56";"12,8";"22,0";"57";"13,1";"23,7";"57";"14,7";"21,9";"58";"13,3";"14,4";"65";"7,9";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 18:10:00;"22,0";"56";"12,8";"22,0";"57";"13,1";"23,9";"57";"14,9";"22,0";"58";"13,4";"14,0";"67";"8,0";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 18:20:00;"22,0";"56";"12,8";"22,1";"58";"13,5";"23,9";"57";"14,9";"22,0";"58";"13,4";"13,9";"68";"8,1";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 18:30:00;"22,1";"56";"12,9";"22,1";"58";"13,5";"23,5";"55";"14,0";"22,1";"58";"13,5";"13,5";"68";"7,7";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 18:40:00;"22,1";"56";"12,9";"22,1";"58";"13,5";"22,5";"57";"13,6";"22,0";"58";"13,4";"13,1";"69";"7,6";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 18:50:00;"22,1";"56";"12,9";"22,1";"58";"13,5";"22,4";"57";"13,5";"22,0";"59";"13,6";"13,1";"70";"7,8";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 19:00:00;"22,0";"56";"12,8";"21,9";"59";"13,6";"22,2";"58";"13,6";"21,9";"59";"13,6";"12,9";"71";"7,8";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 19:10:00;"22,0";"57";"13,1";"21,9";"59";"13,6";"22,1";"58";"13,5";"21,9";"59";"13,6";"12,6";"71";"7,5";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
